deviceID,scanID,rawName,phaseFilePattern,positionLabel,centerX_um,centerY_um,notes
UF_2p5_r1c1,1,UF_2p5_r1c1_1,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c1,2,UF_2p5_r1c1_2,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c2,1,UF_2p5_r1c2_1,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c2,2,UF_2p5_r1c2_2,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c3,1,UF_2p5_r1c3_1,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c3,2,UF_2p5_r1c3_2,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c4,1,UF_2p5_r1c4_1,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c4,2,UF_2p5_r1c4_2,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c5,1,UF_2p5_r1c5_1,*.txt,NaN,NaN,NaN,edit rawName if needed
UF_2p5_r1c5,2,UF_2p5_r1c5_2,*.txt,NaN,NaN,NaN,edit rawName if needed
