selectedIndex,deviceID,scanID,rawName,action,centerSearchRange_um,centerSearchStep_um,fitRMin_um,fitRMax_um,notes,timeStamp
1,UF_2p5_r1c3,1,UF_2p5_r1c3_1,repick_center,NaN,NaN,NaN,NaN,,2026-05-11 17:21:46
2,UF_2p5_r1c3,2,UF_2p5_r1c3_2,repick_center,NaN,NaN,NaN,NaN,,2026-05-11 17:21:46
